delta_label,epsilon,D_JS_numerical,predicted_leading_order,ratio,absolute_residual,residual_over_epsilon_cubed
delta_1_within_A1,1.000000000000e-01,1.050296285092e-02,1.000000000000e-02,1.050296285092e+00,5.029628509185e-04,5.029628509185e-01
delta_1_within_A1,3.162277660168e-02,1.004700026558e-03,1.000000000000e-03,1.004700026558e+00,4.700026558250e-06,1.486278898735e-01
delta_1_within_A1,1.000000000000e-02,1.000466997624e-04,1.000000000000e-04,1.000466997624e+00,4.669976238162e-08,4.669976238162e-02
delta_1_within_A1,3.162277660168e-03,1.000046669979e-05,1.000000000000e-05,1.000046669979e+00,4.666997902756e-10,1.475834320794e-02
delta_1_within_A1,1.000000000000e-03,1.000004666730e-06,1.000000000000e-06,1.000004666730e+00,4.666729809078e-12,4.666729809078e-03
delta_1_within_A1,3.162277660168e-04,1.000000466371e-07,1.000000000000e-07,1.000000466371e+00,4.663710794925e-14,1.474794846028e-03
delta_2_within_A2,1.000000000000e-01,1.050296285092e-02,1.000000000000e-02,1.050296285092e+00,5.029628509185e-04,5.029628509185e-01
delta_2_within_A2,3.162277660168e-02,1.004700026558e-03,1.000000000000e-03,1.004700026558e+00,4.700026558250e-06,1.486278898735e-01
delta_2_within_A2,1.000000000000e-02,1.000466997624e-04,1.000000000000e-04,1.000466997624e+00,4.669976238162e-08,4.669976238162e-02
delta_2_within_A2,3.162277660168e-03,1.000046669979e-05,1.000000000000e-05,1.000046669979e+00,4.666997902756e-10,1.475834320794e-02
delta_2_within_A2,1.000000000000e-03,1.000004666730e-06,1.000000000000e-06,1.000004666730e+00,4.666729809078e-12,4.666729809078e-03
delta_2_within_A2,3.162277660168e-04,1.000000466371e-07,1.000000000000e-07,1.000000466371e+00,4.663710794925e-14,1.474794846028e-03
delta_3_between,1.000000000000e-01,2.100592570184e-02,2.000000000000e-02,1.050296285092e+00,1.005925701837e-03,1.005925701837e+00
delta_3_between,3.162277660168e-02,2.009400053116e-03,2.000000000000e-03,1.004700026558e+00,9.400053116499e-06,2.972557797470e-01
delta_3_between,1.000000000000e-02,2.000933995248e-04,2.000000000000e-04,1.000466997624e+00,9.339952476324e-08,9.339952476324e-02
delta_3_between,3.162277660168e-03,2.000093339958e-05,2.000000000000e-05,1.000046669979e+00,9.333995805513e-10,2.951668641588e-02
delta_3_between,1.000000000000e-03,2.000009333460e-06,2.000000000000e-06,1.000004666730e+00,9.333459618157e-12,9.333459618157e-03
delta_3_between,3.162277660168e-04,2.000000932742e-07,2.000000000000e-07,1.000000466371e+00,9.327421589850e-14,2.949589692055e-03
